iter	RMSE
0	3.110298056
1	2.974848012
2	2.844101504
3	2.717973703
4	2.602380468
5	2.495228904
6	2.387204112
7	2.288408471
8	2.193706278
9	2.099898367
10	2.010779831
11	1.925482415
12	1.847361848
13	1.772000298
14	1.699106861
15	1.6285853
16	1.564502059
17	1.500183402
18	1.440854019
19	1.385419974
20	1.329746067
21	1.280332566
22	1.232108181
23	1.185030545
24	1.140865867
25	1.096550463
26	1.057862805
27	1.021155733
28	0.9836512128
29	0.9477565138
30	0.9164288859
31	0.8865250144
32	0.856778859
33	0.8307297104
34	0.8040830436
35	0.778109471
36	0.7549788346
37	0.7320242437
38	0.7084770757
39	0.6875220623
40	0.668584237
41	0.6501997981
42	0.6336286678
43	0.6174147723
44	0.602250741
45	0.5884134309
46	0.5745977913
47	0.5610776378
48	0.5476128223
49	0.5362317241
50	0.5250494533
51	0.5144257338
52	0.50507465
53	0.495615407
54	0.4863763591
55	0.4780248433
56	0.4704887964
57	0.4625563849
58	0.4550258472
59	0.4485547056
60	0.4425677659
61	0.4368558557
62	0.4317863073
63	0.4268240783
64	0.4216731859
65	0.4176718791
66	0.4133285348
67	0.4087450906
68	0.404931966
69	0.4009004112
70	0.3974850066
71	0.3944470641
72	0.3913057845
73	0.3878736995
74	0.3846406156
75	0.381461906
76	0.3788944831
77	0.3759802098
78	0.3734844947
79	0.3711205182
80	0.3690386553
81	0.3671645481
82	0.3653610254
83	0.3635549563
84	0.361966674
85	0.36045522
86	0.3589048423
87	0.3574479382
88	0.3559211439
89	0.3545352838
90	0.3531209096
91	0.3517148949
92	0.3503463677
93	0.34925594
94	0.34830828
95	0.3469782651
96	0.345823938
97	0.3448483274
98	0.3439280853
99	0.3430074351
100	0.3421272882
101	0.3410764301
102	0.3404090749
103	0.3397647128
104	0.3390064755
105	0.3380941225
106	0.337383675
107	0.3367401358
108	0.3361326302
109	0.3356254413
110	0.3349822093
111	0.334368258
112	0.33376743
113	0.3332248904
114	0.3325960192
115	0.332176499
116	0.3317416577
117	0.3311149098
118	0.3304836821
119	0.3300029661
120	0.3295569134
121	0.3290896414
122	0.3285858631
123	0.3280239919
124	0.3274912213
125	0.3271023383
126	0.3269576436
127	0.326695691
128	0.3262545235
129	0.3259295076
130	0.3255898991
131	0.3251204441
132	0.3246887367
133	0.3243736562
134	0.3240382076
135	0.3237398657
136	0.3234849126
137	0.3230760637
138	0.3229538448
139	0.3226548323
140	0.3223872853
141	0.3221563591
142	0.3218723298
143	0.3216434292
144	0.3213858148
145	0.3210614954
146	0.3207559025
147	0.3205487773
148	0.3202790911
149	0.3200615342
150	0.3197668373
151	0.3195267818
152	0.3192793918
153	0.3189896355
154	0.318732851
155	0.3184417448
156	0.3181801505
157	0.3179509946
158	0.3177189249
159	0.317503656
160	0.3172763904
161	0.3170311697
162	0.3168702675
163	0.3167216557
164	0.3164792783
165	0.3163598137
166	0.3161417655
167	0.3160483191
168	0.3158352957
169	0.315665444
170	0.315484539
171	0.315333948
172	0.3150851055
173	0.3149771528
174	0.3147944922
175	0.3146181486
176	0.3143930141
177	0.3141870206
178	0.314036518
179	0.3138621583
180	0.3136573677
181	0.3134672517
182	0.3133466308
183	0.3132086769
184	0.3130873274
185	0.3129433901
186	0.312780465
187	0.3126815677
188	0.3125283494
189	0.3123535102
190	0.3122105334
191	0.3120537877
192	0.3119189728
193	0.311760581
194	0.3115890651
195	0.3114188355
196	0.3112737231
197	0.3111992564
198	0.3109948844
199	0.3108448048
200	0.310667039
201	0.3105535161
202	0.310394672
203	0.310273868
204	0.310144349
205	0.3100098061
206	0.3099105496
207	0.3097832074
208	0.3096698085
209	0.3095549962
210	0.3093419861
211	0.3091958973
212	0.309095931
213	0.3089537686
214	0.3088725171
215	0.3087328147
216	0.3085991401
217	0.3084479264
218	0.308339825
219	0.3082091516
220	0.3080284444
221	0.3079179226
222	0.3077974665
223	0.3076744202
224	0.3074753908
225	0.3072910781
226	0.307126627
227	0.3069087774
228	0.3067127119
229	0.3066253935
230	0.3064954403
231	0.3064164728
232	0.3062399413
233	0.3061322253
234	0.3060493998
235	0.3059007655
236	0.3057429412
237	0.3056076493
238	0.3054382724
239	0.3052855322
240	0.3052015907
241	0.3050580526
242	0.3049499821
243	0.3048223189
244	0.3046931331
245	0.3045347666
246	0.3043505185
247	0.3042466458
248	0.3041500306
249	0.3039928581
250	0.3039060864
251	0.3037336703
252	0.303576313
253	0.3034037634
254	0.3032851405
255	0.3031976538
256	0.303064204
257	0.3029272475
258	0.3028392007
259	0.3027235485
260	0.3026235885
261	0.3024969044
262	0.3024025181
263	0.3022875508
264	0.3020859638
265	0.3019503689
266	0.3018184172
267	0.3017028403
268	0.3016034205
269	0.3014304123
270	0.3013356404
271	0.301258673
272	0.3011261056
273	0.3009660708
274	0.300854571
275	0.3007267893
276	0.3006401081
277	0.3004983587
278	0.300372711
279	0.3002521767
280	0.3001132494
281	0.3000015494
282	0.2998798377
283	0.299748659
284	0.299583231
285	0.299464786
286	0.299336591
287	0.2992859618
288	0.2991641318
289	0.2990365108
290	0.2989153463
291	0.2988388538
292	0.2987714094
293	0.2987070036
294	0.2985939715
295	0.2985015954
296	0.2983911992
297	0.2983293047
298	0.2982501952
299	0.2981133822
300	0.298024848
301	0.2979078263
302	0.2978239453
303	0.2977079949
304	0.2975766549
305	0.2975199792
306	0.2974438853
307	0.2973181833
308	0.2972295573
309	0.2971326569
310	0.2970355131
311	0.2969290227
312	0.2968093424
313	0.2967156904
314	0.2966271407
315	0.2965503436
316	0.2964610988
317	0.2963695546
318	0.2962657258
319	0.2961749672
320	0.2960803176
321	0.2959964879
322	0.2958926445
323	0.2957762326
324	0.2956735356
325	0.2955902347
326	0.2954292938
327	0.2953230757
328	0.2951686787
329	0.2950467064
330	0.294940611
331	0.2948720757
332	0.2947552261
333	0.2946503874
334	0.2945565325
335	0.294421916
336	0.2942984074
337	0.2941837814
338	0.2941257923
339	0.2940619638
340	0.2939597867
341	0.2938557642
342	0.293791208
343	0.2937105611
344	0.29363177
345	0.2935377366
346	0.293483828
347	0.2933964396
348	0.2933252479
349	0.2932146754
350	0.2931413162
351	0.2930432383
352	0.2929350573
353	0.2928417133
354	0.2927411102
355	0.2926302627
356	0.2925466333
357	0.2924734539
358	0.2923693367
359	0.2922614038
360	0.2921795679
361	0.292103217
362	0.2920254908
363	0.2918929765
364	0.2918229326
365	0.2917343767
366	0.2916239629
367	0.2915400777
368	0.2914182399
369	0.2913564856
370	0.2912862187
371	0.2912118906
372	0.2911340495
373	0.2910591788
374	0.2909767297
375	0.2908912785
376	0.2907540093
377	0.2906747734
378	0.2905807058
379	0.2905161304
380	0.2904472298
381	0.2903846273
382	0.2902794769
383	0.2901183438
384	0.2900545566
385	0.2899454214
386	0.2898658914
387	0.2898008486
388	0.2897108863
389	0.2896185018
390	0.2895033505
391	0.2894297668
392	0.2893206924
393	0.2892456563
394	0.2891577475
395	0.2890565929
396	0.2889299653
397	0.2887842982
398	0.2886798737
399	0.2885976566
9	0.2891126238

