iter	Passed	Remaining
0	56	22387
1	57	11382
2	59	7858
3	60	6026
4	62	4901
5	63	4143
6	64	3618
7	65	3208
8	66	2882
9	67	2617
10	67	2397
11	69	2242
12	70	2102
13	71	1978
14	73	1877
15	74	1788
16	75	1709
17	77	1639
18	78	1577
19	79	1508
20	80	1451
21	81	1403
22	83	1364
23	84	1316
24	84	1269
25	85	1230
26	86	1192
27	87	1158
28	88	1126
29	89	1098
30	90	1076
31	91	1050
32	92	1028
33	93	1007
34	94	986
35	95	965
36	96	945
37	97	929
38	99	919
39	100	904
40	101	889
41	102	874
42	103	858
43	105	851
44	106	842
45	108	834
46	109	822
47	110	808
48	111	799
49	112	789
50	114	784
51	115	776
52	117	769
53	118	758
54	119	747
55	119	736
56	120	725
57	121	715
58	122	705
59	123	697
60	124	691
61	125	683
62	126	674
63	126	666
64	127	658
65	128	650
66	130	647
67	131	642
68	132	636
69	133	629
70	134	622
71	135	616
72	136	609
73	137	604
74	138	601
75	139	596
76	140	590
77	141	584
78	142	579
79	144	576
80	145	571
81	146	566
82	147	564
83	149	560
84	150	556
85	151	553
86	152	549
87	153	543
88	153	538
89	154	533
90	155	528
91	156	524
92	158	522
93	160	521
94	161	516
95	161	512
96	162	507
97	163	503
98	164	499
99	165	496
100	166	492
101	167	489
102	169	488
103	170	486
104	172	485
105	173	481
106	174	478
107	175	475
108	176	472
109	177	469
110	179	466
111	180	464
112	182	462
113	184	461
114	185	459
115	186	456
116	187	454
117	189	452
118	191	451
119	192	449
120	194	447
121	195	445
122	196	443
123	197	440
124	198	437
125	199	433
126	200	430
127	201	427
128	202	424
129	203	421
130	203	418
131	204	415
132	205	412
133	206	409
134	207	406
135	208	403
136	208	401
137	209	398
138	210	394
139	211	391
140	212	389
141	213	387
142	214	384
143	215	383
144	216	381
145	217	379
146	218	376
147	219	373
148	220	371
149	221	369
150	222	367
151	223	364
152	224	362
153	226	361
154	227	359
155	228	357
156	229	354
157	229	352
158	230	349
159	231	347
160	232	344
161	233	342
162	234	341
163	236	339
164	237	338
165	239	337
166	240	335
167	242	334
168	243	333
169	244	331
170	245	328
171	246	327
172	247	325
173	248	323
174	249	320
175	250	318
176	251	316
177	252	314
178	253	312
179	254	311
180	255	309
181	257	307
182	257	305
183	258	303
184	259	301
185	260	299
186	261	298
187	262	296
188	264	294
189	265	293
190	267	292
191	268	291
192	270	289
193	271	288
194	272	286
195	273	284
196	274	282
197	275	280
198	275	278
199	276	276
200	277	274
201	277	272
202	278	270
203	280	269
204	281	267
205	282	265
206	283	264
207	284	262
208	286	261
209	286	259
210	287	257
211	288	255
212	288	253
213	289	251
214	290	249
215	290	247
216	291	246
217	292	244
218	293	242
219	294	240
220	295	239
221	295	237
222	296	235
223	297	233
224	298	231
225	298	230
226	299	228
227	300	226
228	302	225
229	303	224
230	305	223
231	305	221
232	306	219
233	307	218
234	308	216
235	309	215
236	310	213
237	312	212
238	313	211
239	315	210
240	315	208
241	316	206
242	317	205
243	318	203
244	319	202
245	320	200
246	321	199
247	322	197
248	323	196
249	323	194
250	324	192
251	325	191
252	326	189
253	327	188
254	327	186
255	328	184
256	329	183
257	330	181
258	331	180
259	332	178
260	333	177
261	334	176
262	335	174
263	336	173
264	336	171
265	338	170
266	339	169
267	340	167
268	341	166
269	341	164
270	342	163
271	343	161
272	344	160
273	345	158
274	346	157
275	348	156
276	349	155
277	350	153
278	351	152
279	352	151
280	353	149
281	354	148
282	354	146
283	355	145
284	356	143
285	356	142
286	357	140
287	358	139
288	359	138
289	361	137
290	362	135
291	363	134
292	364	133
293	365	131
294	366	130
295	367	128
296	367	127
297	368	126
298	369	124
299	370	123
300	371	122
301	372	120
302	373	119
303	375	118
304	376	117
305	377	116
306	378	114
307	379	113
308	380	112
309	381	110
310	382	109
311	382	108
312	383	106
313	384	105
314	385	104
315	386	102
316	387	101
317	389	100
318	390	99
319	391	97
320	392	96
321	393	95
322	394	93
323	395	92
324	396	91
325	397	90
326	398	88
327	399	87
328	400	86
329	401	85
330	401	83
331	402	82
332	403	81
333	404	79
334	405	78
335	406	77
336	406	76
337	407	74
338	408	73
339	409	72
340	410	70
341	410	69
342	411	68
343	412	67
344	413	65
345	414	64
346	415	63
347	416	62
348	417	61
349	418	59
350	420	58
351	421	57
352	422	56
353	422	54
354	423	53
355	424	52
356	426	51
357	427	50
358	428	48
359	429	47
360	430	46
361	431	45
362	432	44
363	433	42
364	435	41
365	436	40
366	437	39
367	438	38
368	439	36
369	440	35
370	441	34
371	441	33
372	442	32
373	444	30
374	445	29
375	446	28
376	447	27
377	448	26
378	449	24
379	449	23
380	450	22
381	451	21
382	453	20
383	454	18
384	455	17
385	456	16
386	457	15
387	458	14
388	460	13
389	461	11
390	462	10
391	463	9
392	465	8
393	466	7
394	467	5
395	468	4
396	469	3
397	470	2
398	471	1
399	472	0
86	0
488	0
